N,curvature,diagnostic,auc,curved_mean,flat_mean,curved_std,flat_std,n_reps
100,0.5,local_vs_global,0.7400,1.000000,1.000384,0.000000,0.000571,50
100,0.5,geodesic_euclidean,0.5280,1.544022,1.543057,0.027114,0.023213,50
100,0.5,tangent_variation,0.0236,59.909979,61.573660,0.531930,0.580547,50
100,2.0,local_vs_global,0.5000,1.000000,1.000000,0.000000,0.000000,50
100,2.0,geodesic_euclidean,0.5224,1.533590,1.532433,0.028036,0.028904,50
100,2.0,tangent_variation,0.5308,66.424907,66.371378,0.836460,0.802487,50
500,0.5,local_vs_global,1.0000,1.000696,1.017244,0.000451,0.002525,50
500,0.5,geodesic_euclidean,0.9444,2.009279,1.947221,0.025599,0.031114,50
500,0.5,tangent_variation,0.0000,72.346093,74.069663,0.306923,0.365640,50
500,2.0,local_vs_global,0.5000,1.000000,1.000000,0.000000,0.000000,50
500,2.0,geodesic_euclidean,0.4676,1.830959,1.832695,0.015788,0.015744,50
500,2.0,tangent_variation,0.5764,79.458389,79.297304,0.465992,0.553682,50
2000,0.5,local_vs_global,1.0000,1.016768,1.036208,0.001647,0.000879,50
2000,0.5,geodesic_euclidean,0.9928,2.374083,2.298881,0.019437,0.030691,50
2000,0.5,tangent_variation,0.0000,76.327461,77.880375,0.223835,0.243213,50
2000,2.0,local_vs_global,0.5000,1.000000,1.000000,0.000000,0.000000,50
2000,2.0,geodesic_euclidean,0.4984,1.969984,1.969741,0.018609,0.024605,50
2000,2.0,tangent_variation,0.4848,83.301723,83.304268,0.218537,0.294701,50
